emisor;nombre_emisor;receptor;nombre_receptor;producto;color;tallas;codigo_producto;codigo_color;stock_inicial_receptor;stock_antes;aporte;stock_despues;cobertura_antes;cobertura_despues;url_foto
840;ECI BERCIAL;2094;ECI SAN JOSÉ VALDERAS;261-MINO;PALE BANANA;TL, TM, TS, TXS;1105697;1144;2;2.0;5.0;7.0;2;7;https://content.morgandetoi.fr/el-corte-ingles/1105697-1144-F.jpg
2020;ECI SALAMANCA;857;ECI VALLADOLID ZORRILLA;261-MINO;PALE BANANA;TL, TM, TS, TXS;1105697;1144;2;2.0;4.0;6.0;2;6;https://content.morgandetoi.fr/el-corte-ingles/1105697-1144-F.jpg
801;ECI PRECIADOS;805;ECI SERRANO PRINCESA;261-MINO;PALE BANANA;TL, TM, TS, TXS;1105697;1144;3;3.0;4.0;7.0;3;7;https://content.morgandetoi.fr/el-corte-ingles/1105697-1144-F.jpg
869;ECI ALCALA DE HENARES;845;ECI XANADU;261-MINO;PALE BANANA;TL, TM, TS, TXS;1105697;1144;3;3.0;4.0;7.0;3;7;https://content.morgandetoi.fr/el-corte-ingles/1105697-1144-F.jpg
840;ECI BERCIAL;845;ECI XANADU;261-DIFAINE;IVOIRE/NOIR;TL, TM, TS, TXS;1106740;928;1;1.0;7.0;8.0;1;8;https://content.morgandetoi.fr/el-corte-ingles/1106740-928-F.jpg
2020;ECI SALAMANCA;805;ECI SERRANO PRINCESA;261-DIFAINE;IVOIRE/NOIR;TL, TM, TS, TXS;1106740;928;3;3.0;5.0;8.0;3;8;https://content.morgandetoi.fr/el-corte-ingles/1106740-928-F.jpg
2020;ECI SALAMANCA;832;ECI MADRID GOYA;261-DWONDER;OFF WHITE M;TL, TM, TS, TXS;1106741;931;4;4.0;4.0;8.0;4;8;https://content.morgandetoi.fr/el-corte-ingles/1106741-931-F.jpg
840;ECI BERCIAL;1782;ECI CAMPO DE LAS NACIONES;261-DWONDER;OFF WHITE M;TL, TM, TS, TXS;1106741;931;2;2.0;6.0;8.0;2;8;https://content.morgandetoi.fr/el-corte-ingles/1106741-931-F.jpg
805;ECI SERRANO PRINCESA;2094;ECI SAN JOSÉ VALDERAS;261-DWONDER;OFF WHITE M;TL, TM, TS, TXS;1106741;931;2;2.0;5.0;7.0;2;7;https://content.morgandetoi.fr/el-corte-ingles/1106741-931-F.jpg
806;ECI POZUELO;845;ECI XANADU;261-DWONDER;OFF WHITE M;TL, TM, TS, TXS;1106741;931;2;2.0;5.0;7.0;2;7;https://content.morgandetoi.fr/el-corte-ingles/1106741-931-F.jpg
803;ECI SANCHINARRO;801;ECI PRECIADOS;261-SHEDA;GOLDEN BROWN;T34, T36, T38, T40, T42;1105724;1198;2;2.0;5.0;7.0;2;7;https://content.morgandetoi.fr/el-corte-ingles/1105724-1198-F.jpg
2020;ECI SALAMANCA;857;ECI VALLADOLID ZORRILLA;261-RLACO.F;OFF WHITE M;T34, T36, T38, T40, T42;1105822;931;3;3.0;5.0;8.0;3;8;https://content.morgandetoi.fr/el-corte-ingles/1105822-931-F.jpg
1782;ECI CAMPO DE LAS NACIONES;806;ECI POZUELO;261-RLACO.F;OFF WHITE M;T34, T36, T38, T40, T42;1105822;931;2;2.0;5.0;7.0;2;7;https://content.morgandetoi.fr/el-corte-ingles/1105822-931-F.jpg
2094;ECI SAN JOSÉ VALDERAS;803;ECI SANCHINARRO;261-RMILAN;DORE;TL, TM, TS, TXS;1105731;401;0;0.0;4.0;4.0;0;4;https://content.morgandetoi.fr/el-corte-ingles/1105731-401-F.jpg
840;ECI BERCIAL;803;ECI SANCHINARRO;261-DTERRA;OFF WHITE M;TL, TM, TS, TXS;1105831;931;5;5.0;4.0;9.0;3;4;https://content.morgandetoi.fr/el-corte-ingles/1105831-931-F.jpg
869;ECI ALCALA DE HENARES;803;ECI SANCHINARRO;261-DTERRA;OFF WHITE M;TL, TM, TS, TXS;1105831;931;5;9.0;4.0;13.0;4;6;https://content.morgandetoi.fr/el-corte-ingles/1105831-931-F.jpg
2020;ECI SALAMANCA;1782;ECI CAMPO DE LAS NACIONES;261-DTERRA;OFF WHITE M;TL, TM, TS, TXS;1105831;931;4;4.0;4.0;8.0;4;8;https://content.morgandetoi.fr/el-corte-ingles/1105831-931-F.jpg
857;ECI VALLADOLID ZORRILLA;832;ECI MADRID GOYA;242-OLAFI;IVOIRE M;T34, T38, T40, T42, T44;98945;978;2;2.0;6.0;8.0;2;8;#
869;ECI ALCALA DE HENARES;840;ECI BERCIAL;242-OLAFI;IVOIRE M;T38, T42;98945;978;2;2.0;3.0;5.0;2;5;#
2020;ECI SALAMANCA;840;ECI BERCIAL;242-OLAFI;IVOIRE M;T34, T42;98945;978;2;5.0;2.0;7.0;5;7;#
2094;ECI SAN JOSÉ VALDERAS;840;ECI BERCIAL;242-OLAFI;IVOIRE M;T34;98945;978;2;7.0;1.0;8.0;7;8;#
1782;ECI CAMPO DE LAS NACIONES;806;ECI POZUELO;261-SHORY.F;OFF WHITE M;T34, T36, T38, T40, T42;1105745;931;3;3.0;5.0;8.0;2;4;https://content.morgandetoi.fr/el-corte-ingles/1105745-931-F.jpg
