TEMPORADA;COLLECTION;FAMILIA;CODEPRODUIT;CODECOLORIS;NOMPRODUIT;LIBCOLORISMODIFIE;CODEBARRES;CODEINTERNEARTICLE
E26;ESSENTIELS;Robe/ combinaison;1102139;1161;251-RISSAL;TEABERRY;3253634652818;630000
E26;ESSENTIELS;Robe/ combinaison;1102139;1161;251-RISSAL;TEABERRY;3253634652825;630001
E26;ESSENTIELS;Robe/ combinaison;1102139;1161;251-RISSAL;TEABERRY;3253634652832;630002
E26;ESSENTIELS;Robe/ combinaison;1102139;1161;251-RISSAL;TEABERRY;3253634652849;630003
E26;ESSENTIELS;Robe/ combinaison;1102139;1161;251-RISSAL;TEABERRY;3253634652856;630004
E26;ESSENTIELS;T-shirt;101546;1145;251-DIDOA;CAPERS;3253634625812;627300
E26;ESSENTIELS;T-shirt;101546;1145;251-DIDOA;CAPERS;3253634625829;627301
E26;ESSENTIELS;T-shirt;101546;1145;251-DIDOA;CAPERS;3253634625836;627302
E26;ESSENTIELS;T-shirt;101546;1145;251-DIDOA;CAPERS;3253634625843;627303
E26;ESSENTIELS;T-shirt;101546;1145;251-DIDOA;CAPERS;3253634625850;627304
E26;MODE;Robe/ combinaison;1107233;1159;261-RSAMYA;WHITE SMOKE;3253634783031;643872
E26;MODE;Robe/ combinaison;1107233;1159;261-RSAMYA;WHITE SMOKE;3253634783109;643880
E26;MODE;Robe/ combinaison;1107233;1159;261-RSAMYA;WHITE SMOKE;3253634783116;643881
E26;MODE;Robe/ combinaison;1107233;1159;261-RSAMYA;WHITE SMOKE;3253634783123;643882
E26;MODE;Robe/ combinaison;1107233;1159;261-RSAMYA;WHITE SMOKE;3253634783130;643883
E26;MODE;Robe/ combinaison;1107233;1159;261-RSAMYA;WHITE SMOKE;3253634783147;643884
E26;ESSENTIELS;T-shirt;93923;1199;231-DATE;SWEET DREAMS;3253634679891;632865
E26;ESSENTIELS;T-shirt;93923;1199;231-DATE;SWEET DREAMS;3253634679938;632870
E26;ESSENTIELS;T-shirt;93923;1199;231-DATE;SWEET DREAMS;3253634679945;632871
E26;ESSENTIELS;T-shirt;93923;1199;231-DATE;SWEET DREAMS;3253634679952;632872
E26;ESSENTIELS;T-shirt;93923;1199;231-DATE;SWEET DREAMS;3253634679969;632873
E26;ESSENTIELS;T-shirt;1103498;931;251-DALIKA;OFF WHITE M;3253634551593;619301
E26;ESSENTIELS;T-shirt;1103498;931;251-DALIKA;OFF WHITE M;3253634551609;619302
E26;ESSENTIELS;T-shirt;1103498;931;251-DALIKA;OFF WHITE M;3253634551616;619303
E26;ESSENTIELS;T-shirt;1103498;931;251-DALIKA;OFF WHITE M;3253634551623;619304
E26;ESSENTIELS;T-shirt;1103498;931;251-DALIKA;OFF WHITE M;3253634551630;619305
E26;ESSENTIELS;Pantalon;85001;203;211-PROSY.F;IVOIRE;3253633418606;493644
E26;ESSENTIELS;Pantalon;85001;203;211-PROSY.F;IVOIRE;3253633418613;493645
E26;ESSENTIELS;Pantalon;85001;203;211-PROSY.F;IVOIRE;3253633418620;493646
E26;ESSENTIELS;Pantalon;85001;203;211-PROSY.F;IVOIRE;3253633418637;493647
E26;ESSENTIELS;Pantalon;85001;203;211-PROSY.F;IVOIRE;3253633418644;493648
E26;ESSENTIELS;Pantalon;85001;203;211-PROSY.F;IVOIRE;3253633418651;493649
E26;ESSENTIELS;Pantalon;85001;203;211-PROSY.F;IVOIRE;3253634422923;605622
E26;ESSENTIELS;Robe/ combinaison;99078;1023;241-ROSLI;MAGMA M;3253634689043;633800
E26;ESSENTIELS;Robe/ combinaison;99078;1023;241-ROSLI;MAGMA M;3253634689050;633801
E26;ESSENTIELS;Robe/ combinaison;99078;1023;241-ROSLI;MAGMA M;3253634689067;633802
E26;ESSENTIELS;Robe/ combinaison;99078;1023;241-ROSLI;MAGMA M;3253634689074;633803
E26;ESSENTIELS;Robe/ combinaison;99078;1023;241-ROSLI;MAGMA M;3253634689081;633804
E26;ESSENTIELS;Robe/ combinaison;99078;1023;241-ROSLI;MAGMA M;3253634688428;633737
E26;ESSENTIELS;T-shirt;1105842;1200;261-DAMA;NAVAL ACADEMY;3253634692524;634150
E26;ESSENTIELS;T-shirt;1105842;1200;261-DAMA;NAVAL ACADEMY;3253634693293;634228
